[04/14/18 22:57:01] http-server.c(161): fileserver: worker_threads = 10
[04/14/18 22:57:01] http-server.c(176): fileserver: fixed_block_size = 8388608
[04/14/18 22:57:01] http-server.c(191): fileserver: web_token_expire_time = 3600
[04/15/2018 11:07:03 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 11:12:03 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 11:17:03 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 11:22:03 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 11:27:03 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 11:32:03 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 11:37:03 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 11:42:04 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 11:47:04 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 11:52:04 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 11:57:04 AM] size-sched.c(96): Repo size compute queue size is 0
[04/15/2018 12:02:04 PM] size-sched.c(96): Repo size compute queue size is 0
